Disease,dz_name
Anthrax,Anthrax
Argentine haemorrhagic fever,Argentine haemorrhagic fever
Brazilian spotted fever,Brazilian spotted fever
Chagas disease,Chagas disease (acute)
Chikungunya virus,Chikungunya
Crimean-Congo haemorrhagic fever,Crimean-Congo haemorrhagic fever
Dengue fever,Dengue
Eastern equine encephalitis virus,Eastern equine encephalitis
Ebola virus,Ebola virus disease
Hantavirus pulmonary syndrome,Hantavirus cardiopulmonary syndrome
Hendra virus,Hendra virus disease
Influenza A (zoonotic origin),Influenza A H5N1
Jamestown Canyon virus disease,Jamestown Canyon virus disease
Japanese encephalitis,Japanese encephalitis
LaCrosse encephalitis,LaCrosse encephalitis
Lassa fever,Lassa fever
Leptospirosis,Leptospirosis
Lyme disease,Lyme disease
Marburg fever,Marburg virus disease
Mayaro virus,Mayaro virus disease
Melioidosis,Melioidosis
Middle East respiratory syndrome,Middle East respiratory syndrome (MERS)
Monkeypox,Monkeypox
Nipah virus,Nipah virus disease
Oropouche fever,Oropouche fever
Plague,Plague
Plasmodium knowlesi zoonotic malaria,Plasmodium knowlesi malaria
Powassan encephalitis,Powassan virus disease
Rift Valley fever,Rift Valley Fever
SARS-related coronaviruses,SARS-related coronaviruses
St. Louis encephalitis,St. Louis encephalitis
West Nile virus,West Nile virus disease
Yellow fever,Yellow fever
Zika virus,Zika
